Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
"2,215",Woodland Primary,,,Direct Service Site,14,ESD 112 - Vancouver,Public school or school district building,600 Bozarth Ave,Woodland,WA,98674,Cowlitz,3609523466,Marissa Ellis,marissa.ellis@esd112.org,3609523531,,15,36,69,"600 Bozarth Ave
Woodland, WA 98674
(45.901848, -122.753498)",Yes
383,Peninsula Vaughn Elementary ECEAP,Vaughn Elementary ECEAP,98,Peninsula School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,"17521 Hall Rd, KPN",Vaughn,WA,98394,Pierce,2535304761,Caren Halvorsen,halvorsenc@psd401.net,2535304761,,18,36,69,"17521 Hall Rd
KPN Vaughn, WA 98394",Yes
265,Lopez Childrens Center,,79,Lopez Cooperative Preschool,33,San Juan County ECEAP,Child Care Center Including Campus Child Care,160 VILLAGE ROAD,LOPEZ ISLAND,WA,98261,San Juan,3603700593,Jane Hobbs,lopezchildren@rockisland.com,3604683896,,11,36,69,"160 VILLAGE ROAD
LOPEZ ISLAND, WA 98261
(48.524948, -122.912129)",Yes
"1,588",Amistad,,,Direct Service Site,20,Kennewick School District,Public school or school district building,930 W. 4th Ave,Kennewick,WA,99336,Benton,5092225027,Linda Crowner,linda.crowner@ksd.org,5092226470,,238,36,69,"930 W 4th Ave
Kennewick, WA 99336
(46.20573, -119.132069)",Yes
"2,313",YMCA of Grays Harbor Oakville Preschool,Oakville Preschool,2253,YMCA of Grays Harbor,15,ESD 113 - Sound to Harbor Early Learning Programs,Public school or school district building,206 School St,Oakville,WA,98568,Grays Harbor,3605379622,Allegra Hood,ahood@ghymca.net,3605379622x134,,7,36,69,"206 School St
Oakville, WA 98568
(46.839554, -123.239893)",Yes
"2,314",YMCA of Grays Harbor at Pacific Beach Elementary,Pacific Beach,2253,YMCA of Grays Harbor,15,ESD 113 - Sound to Harbor Early Learning Programs,Public school or school district building,11 4th St. S,Pacific Beach,WA,98571,Grays Harbor,3605379622,Allegra Hood,ahood@ghymca.net,3605379622x134,,9,36,69,"11 4th St S
Pacific Beach, WA 98571
(47.208292, -124.200128)",Yes
"2,371",CCAC Early Learning Center at Family Partnership Ctr,CCAC at FPC,2369,CCAC,15,ESD 113 - Sound to Harbor Early Learning Programs,Non-Profit Organization Building,300 Sleater-Kinney Rd. NE,Olympia,WA,98516,Thurston,3604124893,Elizabeth Schilling,beth.schilling@ccacwa.org,3607424352,,72,36,69,"300 Sleater-Kinney Rd NE
Olympia, WA 98516
(47.050239, -122.833663)",Yes
"2,222",Harrington ECEAP,,2221,Harrington School District,12,ESD 101 - NEW ESD,Public school or school district building,100 South 1st Street,Harrington,WA,99134,Lincoln,5093232720,Tiffany Clouse,tclouse@harringtonsd.org,5092534331,,14,36,69,"100 South 1st Street
Harrington, WA 99134
(47.479808, -118.251457)",Yes
"2,198",The Lighthouse Early Learning & Development Center,,2197,The Lighthouse,17,ESD 121 - Puget Sound ESD,Non-Profit Organization Building,100 N ST SE,Auburn,WA,98002,King,2539390870,Megan Palmer,meganpalmer@thelighthouseldc.com,2539390870,,18,36,69,"100 N ST SE
Auburn, WA 98002
(47.306969, -122.211987)",Yes
"1,495",Highpoint,,,Direct Service Site,711,Neighborhood House,Non-Profit Organization Building,6400 Sylvan Way SW,Seattle,WA,98126,King,2064618430,Stacey Holmes,staceyh@nhwa.org,2069143017,,40,36,69,"6400 Sylvan Way SW
Seattle, WA 98126
(47.544584, -122.372092)",Yes
248,Keewaydin,,,Direct Service Site,20,Kennewick School District,Public school or school district building,125 Conway St.,Kennewick,WA,99336,Benton,5092225027,Linda Crowner,linda.crowner@ksd.org,5092226470,,64,36,69,"125 Conway St
Kennewick, WA 99336
(46.210624, -119.155499)",Yes
"1,954",La Conner,Susan Wilbur Early Education Center,1953,La Conner,"1,948",Skagit Valley College Head Start & ECEAP,Tribal Organization building,17275 Reservation Road,La Conner,WA,98257,Skagit,3604167590,John Haley,jhaley@lc.k12.wa.us,3603915920,,23,36,69,"17275 Reservation Road La
Conner, WA 98257
(48.395061, -122.500708)",Yes
158,Brewster School District,,,Direct Service Site,11,Enterprise for Progress in the Community,Public school or school district building,502 South 7th Street,Brewster,WA,98812,Okanogan,5096892581x754,Alisha Garcia,alishag@epicnet.org,5096892581,,38,36,69,"502 South 7th Street
Brewster, WA 98812
(48.09427, -119.786823)",Yes
"1,453",Bates Eastside ECEAP,,43,Bates Technical College,17,ESD 121 - Puget Sound ESD,Faith-Based Facility,3575 East Portland Ave,Tacoma,WA,98404,Pierce,2536807330,Cynthia Covarrubias,cycovarrubias@batestech.edu,2536807330,,20,36,69,"3575 East Portland Ave
Tacoma, WA 98404
(47.227232, -122.407844)",Yes
331,Ritzville ECEAP,,107,Ritzville ECEAP,12,ESD 101 - NEW ESD,Public school or school district building,401 E 6th Ave,Ritzville,WA,99169,Adams,5096590232,Cindy Deska,cdeska@lrschools.org,5096590232,,11,36,69,"401 E 6th Ave
Ritzville, WA 99169
(47.12628, -118.370979)",Yes
"2,427",Skykomish ECEAP,,2425,Skykomish School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,105 6th Street North,Skykomish,WA,98288,King,3606772623,Allison  Luker,aluker@skykomish.wednet.edu,3606772623x233,,4,36,69,"105 6th Street North
Skykomish, WA 98288
(47.709298, -121.361958)",No
366,Sunnyside Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,1751 Washington Court,Sunnyside,WA,98944,Yakima,5098376015,Yesenia Sanchez,yesenia.sanchez@inspire-centers.org,5098378909,,40,36,69,"1751 Washington Court
Sunnyside, WA 98944
(46.310011, -120.026798)",Yes
217,Bates Fife/Milton ECEAP,@ Mission Woods Church,43,Bates Technical College,17,ESD 121 - Puget Sound ESD,Faith-Based Facility,2003 Taylor St,Milton,WA,98354,Pierce,2539262423,Maoua Kone,mkone@batestech.edu,2536807547,,40,36,69,"2003 Taylor St
Milton, WA 98354
(47.242867, -122.30759)",Yes
309,Pasco 2 Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,1010 S 6th Ave,Pasco,WA,99301,Franklin,5095469971,Rebecca Badoux,rebecca.badoux@inspire-centers.org,5098378909,,58,36,69,"1010 S 6th Ave
Pasco, WA 99301
(46.222832, -119.094672)",Yes
"1,406",ZAC,,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,841 NE 22nd Ave,Camas,WA,98607,Clark,3605672729,Jessica Coffman,jessica.coffman@eocfwa.org,3608969912,,18,36,69,"841 NE 22nd Ave
Camas, WA 98607
(45.59541, -122.399634)",Yes
"2,347",Carson,,,Direct Service Site,26,Mid-Columbia Children's Council,Non-Profit Organization Building,441 Hot Springs Ave,Carson,WA,98610,Skamania,5413862010,Traci Kessinger,tracikessinger@mcccheadstart.org,5097741114,,10,36,69,"441 Hot Springs Ave
Carson, WA 98610
(45.72602, -121.811368)",Yes
"2,264",Auburn Lea Hill,,673,Auburn School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,30908 124th Ave SE,Auburn,WA,98092,King,2537354710,Cassandra Lewis,clewis@auburn.wednet.edu,2537354710,,38,36,69,"30908 124th Ave SE
Auburn, WA 98092
(47.325268, -122.176407)",Yes
307,KYFS Panther Lake ECEAP,Panther Lake Community Church,71,Kent Youth And Family Service,17,ESD 121 - Puget Sound ESD,Faith-Based Facility,10630 SE 204TH ST,Kent,WA,98031,King,2538528005,Denise Vance,denisev@kyfs.org,2538528005,,40,36,69,"10630 SE 204TH ST
Kent, WA 98031
(47.419466, -122.19748)",Yes
"2,409",White Center Heights,,,Direct Service Site,"2,340",Voices of Tomorrow,Public school or school district building,10015 6th Ave SW,Seattle,WA,98146,King,2064661229,Shelby Lux,slux@tomorrowvoices.org,2064661229x303,,20,36,69,"10015 6th Ave SW
Seattle, WA 98146
(47.513015, -122.342337)",No
693,EPS Lowell,,62,Everett Public Schools,36,Snohomish County,Public school or school district building,5010 View Drive,Everett,WA,98203,Snohomish,4253855320,Skylar Saga,ssaga@everettsd.org,4253855320,,80,36,69,"5010 View Drive
Everett, WA 98203
(47.951038, -122.201446)",Yes
"2,403",Fircrest Early Learning Classroom,,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,12001 NE 9th Street,Vancouver,WA,98684,Clark,3605672720,Niira Krupnick,niira.krupnick@eocfwa.org,3608969912,,32,36,69,"12001 NE 9th Street
Vancouver, WA 98684
(45.628318, -122.549565)",Yes
"1,373",Tiny Tots Development Center - Main,Caterpillar,125,Tiny Tots Development Center,6,City of Seattle ,Child Care Center Including Campus Child Care,8302 1/2 Renton ave S,SEATTLE,WA,98118,King,2067231590,Patricia Scarberry,pscarberry@tinytotsdc.org,2067603200x132,,39,36,69,"8302 1 2 Renton ave S
SEATTLE, WA 98118
(47.528976, -122.278103)",Yes
381,Upper Skagit Tribe,Upper Skagit Child Development Center,128,Upper Skagit Child Development,36,Snohomish County,Tribal Organization building,25782 COYOTE DRIVE,SEDRO WOOLLEY,WA,98284,Skagit,3608547056,Laura Waukechon-Factor,lauraw@upperskagit.com,3608547092,,16,36,69,"25782 COYOTE DRIVE
SEDRO WOOLLEY, WA 98284
(48.540525, -122.187449)",Yes
"2,373",Learning to Grow Preschool,,2372,Learning to Grow Preschool,15,ESD 113 - Sound to Harbor Early Learning Programs,Non-Profit Organization Building,502 E Young Street,Elma,WA,98541,Grays Harbor,3604823201,Stephanie Smith,stephanies.learningtogrow@gmail.com,3604823201,,34,36,69,"502 E Young Street
Elma, WA 98541
(47.00579, -123.392489)",Yes
"1,369",Hough Early Learning Center,,,Direct Service Site,14,ESD 112 - Vancouver,Non-Profit Organization Building,1801 Esther Street,Vancouver,WA,98660,Clark,3607507500,Heather  Anderson,heather.anderson@selfwa.org,3609523410,,71,36,69,"1801 Esther Street
Vancouver, WA 98660
(45.635116, -122.675892)",Yes
"2,246",Lake Stevens Early Learning Center,Lake Stevens ECEAP,74,Lake Stevens School District,36,Snohomish County,Public school or school district building,9215 29th St NE,Lake Stevens,WA,98258,Snohomish,4253351643,Matt Wyant,matt_wyant@lkstevens.wednet.edu,4253351643,,100,36,69,"9215 29th St NE
Lake Stevens, WA 98258
(48.022314, -122.10266)",Yes
145,Barge Lincoln (YSD),,134,Yakima School District,11,Enterprise for Progress in the Community,Public school or school district building,219 E. I Street,Yakima,WA,98901,Yakima,5095735260,Crystal Ancell,ancell.crystal@yakimaschools.org,5095735257,,36,36,69,"219 E I Street
Yakima, WA 98901
(46.614328, -120.508613)",Yes
"2,402",Burton Early Learning Classroom,Burton Elemetary,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,14015 NE 28th Street,Vancouver,WA,98682,Clark,3605672720,Niira Krupnick,niira.krupnick@eocfwa.org,3608969912,,34,36,69,"14015 NE 28th Street
Vancouver, WA 98682
(45.642967, -122.527444)",Yes
"2,408",Denise Louie Education Center Magnuson Park,,,Direct Service Site,"2,338",Denise Louie Education Center,Non-Profit Organization Building,7101 62nd Ave NE,Seattle,WA,98115,King,2067678223,Vivien Koo,vkoo@deniselouie.org,2067678223,,13,36,69,"7101 62nd Ave NE
Seattle, WA 98115
(47.680574, -122.262206)",Yes
606,Renton Meadow Crest Early Learning Center,1800 Index Ave. NE Renton 98056,106,Renton School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,1800 Index Avenue NE,Renton,WA,98056,King,4252042500,Vickie Warren,verline.warren@rentonschools.us,4252042212,4252042500,76,36,69,"1800 Index Avenue NE
Renton, WA 98056
(47.508087, -122.181899)",Yes
"1,371",SWCCC IMAGE DCC,,,Direct Service Site,14,ESD 112 - Vancouver,Child Care Center Including Campus Child Care,4400 NE 122ND AVENUE,VANCOUVER,WA,98662,Clark,3607507500,,,,,52,36,69,"4400 NE 122ND AVENUE
VANCOUVER, WA 98662
(45.654233, -122.547604)",Yes
237,Highline Valley View Early Learning Center,,67,Highline School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,17622 46th Ave S,Seatac,WA,98188,King,2066315108,Mackenzie Pochepan,Mackenzie.Pochepan@highlineschools.org,2066315100,,180,36,69,"17622 46th Ave S
Seatac, WA 98188
(47.444819, -122.275856)",Yes
"1,586",Mukilteo ECEAP,,87,Mukilteo School District,36,Snohomish County,Other,"3616 South Road, Suite C4",Mukilteo,WA,98275,Snohomish,4253561312,Kim Parker,parkerkd@mukilteo.wednet.edu,4253561312,,160,36,69,"3616 South Road
Mukilteo, WA 98275
(47.883122, -122.284375)",Yes
"2,022",Robert Lince Early Learning Center,RL Early Learning Center,,Direct Service Site,34,Selah School District,Public school or school district building,308 W. Naches Ave.,Selah,WA,98942,Yakima,5096988023,Mary Nelson,marynelson@selahschools.org,5096988026,,75,36,69,"308 W Naches Ave
Selah, WA 98942
(46.654033, -120.533163)",Yes
"2,370",CCAC Early Learning Center at Shelton,CCAC at Shelton,2369,CCAC,15,ESD 113 - Sound to Harbor Early Learning Programs,Non-Profit Organization Building,2412 Railroad Ave,Shelton,WA,98584,Mason,3604262898,Elizabeth Schilling,beth.schilling@ccacwa.org,3607424352,,90,36,69,"2412 Railroad Ave
Shelton, WA 98584
(47.207989, -123.125922)",Yes
358,Stevens Elementary,,116,Spokane Public Schools,8,Community Colleges of Spokane,Public school or school district building,1717 E Sinto Ave,Spokane,WA,99202,Spokane,5093544180,CC  Parker,ccp@spokaneschools.org,5093544221,,40,36,69,"1717 E Sinto Ave
Spokane, WA 99202
(47.670663, -117.384157)",Yes
"1,445",Columbia Burbank,,,Direct Service Site,"1,364",ESD 123,Public school or school district building,977 Maple Street,Burbank,WA,99323,Walla Walla,5095445755,Tammy Moody,tmoody@esd123.org,5093802812,,18,36,69,"977 Maple Street
Burbank, WA 99323
(46.200832, -119.010164)",Yes
304,PCHS Orting ECEAP,PCHS Orting,99,Pierce County Human Services,17,ESD 121 - Puget Sound ESD,Public school or school district building,203 Cardinal Lane NE,Orting,WA,98360,Pierce,3608936767,Mercedes Johnson,mercedes.johnson@piercecountywa.gov,3608936767,,40,36,69,"203 Cardinal Lane NE
Orting, WA 98360
(47.101997, -122.206816)",Yes
"2,397",Bethel Naches Trail,,44,Bethel School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,15305 Waller Road East,Tacoma,WA,98446,Pierce,2536838700,Delaney Johnson,dljohnson@bethelsd.org,2538008785,,54,36,69,"15305 Waller Road East
Tacoma, WA 98446
(47.116703, -122.389153)",No
"1,399",McKenzie,,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,14300 NE 18th Street,Vancouver,WA,98684,Clark,3605672720,Dana Taub,dana.taub@eocfwa.org,3605671701,,18,36,69,"14300 NE 18th Street
Vancouver, WA 98684
(45.635676, -122.524874)",Yes
225,Inspire Development Centers - Grandview,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,1005 Grandridge Rd,Grandview,WA,98930,Yakima,5098822444,Laura Ortiz,laura.ortiz@inspire-centers.org,5098822444,,40,36,69,"1005 Grandridge Rd
Grandview, WA 98930
(46.245728, -119.904969)",Yes
"2,286",KYFS Daniel Elementary ECEAP,Daniel Elementary,71,Kent Youth And Family Service,17,ESD 121 - Puget Sound ESD,Public school or school district building,11310 SE 248TH ST,Kent,WA,98030,King,2536309590,Danielle  Berry,DanielleB@kyfs.org,2536309590x131,,80,36,69,"11310 SE 248TH ST
Kent, WA 98030
(47.379697, -122.191281)",Yes
"2,399",Sunset Elementary,,2204,Cheney School District,8,Community Colleges of Spokane,Public school or school district building,12824 W 12th Avenue,Airway Heights,WA,99001,Spokane,5095594828,Emma Noble,enoble@cheneysd.org,5095594507,,24,36,69,"12824 W 12th Avenue
Airway Heights, WA 99001
(47.644759, -117.589183)",No
395,Willapa Elementary,,132,Willapa Valley School District,37,South Bend School District,Public school or school district building,22 Viking Way,Menlo,WA,98561,Pacific,3609423311,Lori Snodgrass,loris@willapavalley.org,3609423311,,16,36,69,"22 Viking Way
Menlo, WA 98561
(46.624568, -123.650924)",Yes
"2,100",Marysville ECEAP,,83,Marysville School District,36,Snohomish County,Public school or school district building,7622 44th Ave NE,Marysville,WA,98270,Snohomish,3609650225,JoAnn Moffitt,JoAnn_Moffitt@msvl.k12.wa.us,3609650234,,208,36,69,"7622 44th Ave NE
Marysville, WA 98270
(48.066736, -122.171807)",Yes
306,Palouse,,96,Palouse School District,7,Community Child Care Center,Public school or school district building,600 E Alder,Palouse,WA,99161,Whitman,5093349290,Calvin  Johnson,cjohnson@garpal.wednet.edu,5098781675,,4,36,69,"600 E Alder
Palouse, WA 99161
(46.912216, -117.071484)",Yes
"2,181",Enumclaw J J Smith ECEAP,Birth to Five Center at JJ Smith Campus,60,Enumclaw School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,1640 Fell Street,Enumclaw,WA,98022,King,3608027881,Garie Sender,garie_sender@enumclaw.wednet.edu,3608027881,,74,36,69,"1640 Fell Street
Enumclaw, WA 98022
(47.206076, -121.993892)",Yes
296,Ocean Beach Early Childhood Center,,,Direct Service Site,14,ESD 112 - Vancouver,Public school or school district building,305 5th Street Se,Long Beach,WA,98631,Pacific,3607507500x342,Rachel Fitch,rachel.fitch@esd112.org,3606424089x802,,13,36,69,"305 5th Street Se
Long Beach, WA 98631
(46.348937, -124.053771)",Yes
600,Federal Way Star Lake ECEAP,Star Lake Elementary,64,Federal Way School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,4014 S 270th Street,Kent,WA,98032,King,2539454076,Jennifer Montufar,jmontufar@fwps.org,2539455871,,58,36,69,"4014 S 270th Street
Kent, WA 98032
(47.359653, -122.283136)",Yes
378,Toppenish Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,1200 Jackson,Toppenish,WA,98948,Yakima,5098652865,Erika Roman De Vasquez,erika.vasquez@inspirecenters.org,5098652865,,40,36,69,"1200 Jackson
Toppenish, WA 98948
(46.379388, -120.325172)",Yes
181,Cosmopolis School District,Cosmopolis School District,53,Cosmopolis School District,2,Aberdeen School District,Public school or school district building,1439 4th St,Cosmopolis,WA,98537,Grays Harbor,3605377403,Cherie Patterson,cpatterson@cosmopolisschool.com,3605327181,,4,36,69,"1439 4th St
Cosmopolis, WA 98537
(46.952034, -123.771587)",Yes
"2,406",Tukwila,Say Tuun,,Direct Service Site,"2,340",Voices of Tomorrow,Public school or school district building,4415 S 150TH ST,Tukwila,WA,98188,King,2065312856,Shelby Lux,slux@tomorrowvoices.org,2064661229x303,,40,36,69,"4415 S 150TH ST
Tukwila, WA 98188
(47.468696, -122.276636)",Yes
"2,289",Highline Beverly Park,Highline Beverly Park ECEAP,67,Highline School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,1201 S 104th Street,Seattle,WA,98168,King,2066313458,Camisa Malmanger,Camisa.Malmanger@highlineschools.org,2066313458,,38,36,69,"1201 S 104th Street
Seattle, WA 98168
(47.51035, -122.318327)",Yes
325,Raymond School District,,103,Raymond School Distrtict,37,South Bend School District,Public school or school district building,1016 E Commercial Street,Raymond,WA,98577,Pacific,3609422435,Michael Scott,mscott@raymondk12.org,3609422435,,25,36,69,"1016 E Commercial Street
Raymond, WA 98577
(46.685647, -123.724017)",Yes
332,Chattaroy Elementary,,108,Riverside School District ,8,Community Colleges of Spokane,Public school or school district building,25717 N Yale,Chattaroy,WA,99003,Spokane,5094648270,Travis  Cross,travis.cross@rsdmail.org,5094648252,,51,36,69,"25717 N Yale
Chattaroy, WA 99003
(47.892169, -117.357695)",Yes
"2,381",Midway ECEAP,,,Direct Service Site,"1,364",ESD 123,Public school or school district building,502 S C Street,Moses Lake,WA,98837,Grant,5095445767,Nancy Aguilar,naguilar@esd123.org,5093804923,,37,36,69,"502 S C Street
Moses Lake, WA 98837
(47.120167, -119.29081)",Yes
337,Rosalia,,110,Rosalia School District,7,Community Child Care Center,Public school or school district building,916 S Josephine,Rosalia,WA,99170,Whitman,5093349290,Darrell Khun,dkhun@rosalia.wednet.edu,5095233061,,10,36,69,"916 S Josephine
Rosalia, WA 99170
(47.231686, -117.368795)",Yes
223,Givens Community Center,,,Direct Service Site,16,ESD 114 - Olympic ESD,Local Government building,1026 Sidney Ave,Port Orchard,WA,98366,Kitsap,3604786889,Kerry Christofferson,kchristofferson@oesd114.org,3603374899,,36,36,69,"1026 Sidney Ave
Port Orchard, WA 98366
(47.533426, -122.636413)",Yes
185,Davenport ECEAP,,,Direct Service Site,12,ESD 101 - NEW ESD,Public school or school district building,601 Washington St,Davenport,WA,99122,Lincoln,5097251261x3300,Courtney Strozyk,coustrozyk@davenport.wednet.edu,5097251261,,13,36,69,"601 Washington St
Davenport, WA 99122
(47.649204, -118.149818)",Yes
224,Goldendale,,,Direct Service Site,26,Mid-Columbia Children's Council,Head Start Facility,920 SOUTH SCHUSTER,GOLDENDALE,WA,98620,Klickitat,5413862010x218,Ellen Lund,ellenlund@mcccheadstart.org,5097741114,,38,36,69,"920 SOUTH SCHUSTER
GOLDENDALE, WA 98620",Yes
